EG1,EG2,EG3,EG4,EG5,EG6,EG7,EG8,EG9,EG10,EG11,EG12,EG13,EG14,EG15,EG16,EG17,EG18,EG19,EG20,HUM,TMP,WD,WS
583.44,6736.08,5728.32,1272.96,1272.96,583.44,6736.08,5728.32,1272.96,1272.96,437.58,5052.06,4296.24,954.72,954.72,437.58,5052.06,4296.24,954.72,954.72,68,23.7,0.8829476,0.7
875.16,10104.12,8592.48,1909.44,1909.44,1151.92,13299.44,11309.76,2513.28,2513.28,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,34,3.5,0.190809,3.5
729.3,8420.1,7160.4,1591.2,1591.2,1092.08,12608.56,10722.24,2382.72,2382.72,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,58,11.9,0.7547096,0.6
875.16,10104.12,8592.48,1909.44,1909.44,1600.72,18481.04,15716.16,3492.48,3492.48,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,25,7,0.2756374,1.9
1237.94,14292.58,12154.32,2700.96,2700.96,1806.42,20855.94,17735.76,3941.28,3941.28,291.72,3368.04,2864.16,636.48,636.48,1301.52,15026.64,12778.56,2839.68,2839.68,66,13.7,-0.1736482,0.4
875.16,10104.12,8592.48,1909.44,1909.44,1092.08,12608.56,10722.24,2382.72,2382.72,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,33,7.1,0.2923717,2.8
800.36,9240.52,7858.08,1746.24,1746.24,1237.94,14292.58,12154.32,2700.96,2700.96,0,0,0,0,0,0,0,0,0,0,40,9.1,0.7986355,1.7
1159.4,13385.8,11383.2,2529.6,2529.6,583.44,6736.08,5728.32,1272.96,1272.96,575.96,6649.72,5654.88,1256.64,1256.64,583.44,6736.08,5728.32,1272.96,1272.96,38,8.3,0.9945219,0.8
1383.8,15976.6,13586.4,3019.2,3019.2,1021.02,11788.14,10024.56,2227.68,2227.68,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,17,2.5,0.809017,1.3
1301.52,15026.64,12778.56,2839.68,2839.68,1159.4,13385.8,11383.2,2529.6,2529.6,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,52,10.1,-0.2079117,1.3
729.3,8420.1,7160.4,1591.2,1591.2,1589.5,18351.5,15606,3468,3468,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,82,22.8,0.5299193,1.4
1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,1006.06,11615.42,9877.68,2195.04,2195.04,437.58,5052.06,4296.24,954.72,954.72,27,-0.2,0.3583679,2.5
729.3,8420.1,7160.4,1591.2,1591.2,1155.66,13342.62,11346.48,2521.44,2521.44,654.5,7556.5,6426,1428,1428,871.42,10060.94,8555.76,1901.28,1901.28,13,10.7,-0.1391731,1.4
1159.4,13385.8,11383.2,2529.6,2529.6,437.58,5052.06,4296.24,954.72,954.72,800.36,9240.52,7858.08,1746.24,1746.24,583.44,6736.08,5728.32,1272.96,1272.96,21,-0.9,0.3583679,3.4
1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,291.72,3368.04,2864.16,636.48,636.48,871.42,10060.94,8555.76,1901.28,1901.28,80,6.1,0.7193398,0.6
1159.4,13385.8,11383.2,2529.6,2529.6,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,65,11.9,-0.309017,1.1
1376.32,15890.24,13512.96,3002.88,3002.88,583.44,6736.08,5728.32,1272.96,1272.96,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,55,7.5,0.2079117,2.1
1443.64,16667.48,14173.92,3149.76,3149.76,575.96,6649.72,5654.88,1256.64,1256.64,871.42,10060.94,8555.76,1901.28,1901.28,437.58,5052.06,4296.24,954.72,954.72,22,15.1,0.7313537,1.8
875.16,10104.12,8592.48,1909.44,1909.44,867.68,10017.76,8519.04,1893.12,1893.12,0,0,0,0,0,0,0,0,0,0,55,17.7,0.5150381,0.5
1159.4,13385.8,11383.2,2529.6,2529.6,721.82,8333.74,7086.96,1574.88,1574.88,1084.6,12522.2,10648.8,2366.4,2366.4,871.42,10060.94,8555.76,1901.28,1901.28,23,4,0.1391731,2.8
1166.88,13472.16,11456.64,2545.92,2545.92,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,51,15,0.06975647,1.5
1739.1,20078.7,17074.8,3794.4,3794.4,721.82,8333.74,7086.96,1574.88,1574.88,430.1,4965.7,4222.8,938.4,938.4,583.44,6736.08,5728.32,1272.96,1272.96,65,17.8,0.9998477,1
1451.12,16753.84,14247.36,3166.08,3166.08,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,1017.28,11744.96,9987.84,2219.52,2219.52,63,19.3,0.6427876,3
1013.54,11701.78,9951.12,2211.36,2211.36,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,291.72,3368.04,2864.16,636.48,636.48,59,3.7,0.819152,0.3
1166.88,13472.16,11456.64,2545.92,2545.92,1297.78,14983.46,12741.84,2831.52,2831.52,437.58,5052.06,4296.24,954.72,954.72,1163.14,13428.98,11419.92,2537.76,2537.76,80,13.5,0.8386706,0.6
875.16,10104.12,8592.48,1909.44,1909.44,1159.4,13385.8,11383.2,2529.6,2529.6,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,31,0.4,0.1736482,2
1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,291.72,3368.04,2864.16,636.48,636.48,1163.14,13428.98,11419.92,2537.76,2537.76,43,16.4,0.9396926,1.1
1021.02,11788.14,10024.56,2227.68,2227.68,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,871.42,10060.94,8555.76,1901.28,1901.28,83,6,0.4383711,0.4
729.3,8420.1,7160.4,1591.2,1591.2,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,575.96,6649.72,5654.88,1256.64,1256.64,53,9.2,0.8480481,0.9
1237.94,14292.58,12154.32,2700.96,2700.96,1660.56,19171.92,16303.68,3623.04,3623.04,291.72,3368.04,2864.16,636.48,636.48,871.42,10060.94,8555.76,1901.28,1901.28,77,11.3,-0.9510565,0.4
1589.5,18351.5,15606,3468,3468,437.58,5052.06,4296.24,954.72,954.72,0,0,0,0,0,871.42,10060.94,8555.76,1901.28,1901.28,63,18.7,0.309017,1.2
1593.24,18394.68,15642.72,3476.16,3476.16,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,19,0.1,0.1218693,2.7
1021.02,11788.14,10024.56,2227.68,2227.68,1013.54,11701.78,9951.12,2211.36,2211.36,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,63,12.9,-0.1736482,1.8
1237.94,14292.58,12154.32,2700.96,2700.96,1305.26,15069.82,12815.28,2847.84,2847.84,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,63,5.8,0.8386706,0.4
1092.08,12608.56,10722.24,2382.72,2382.72,1522.18,17574.26,14945.04,3321.12,3321.12,291.72,3368.04,2864.16,636.48,636.48,145.86,1684.02,1432.08,318.24,318.24,35,-6.7,0.5877853,1.6
1013.54,11701.78,9951.12,2211.36,2211.36,437.58,5052.06,4296.24,954.72,954.72,1006.06,11615.42,9877.68,2195.04,2195.04,579.7,6692.9,5691.6,1264.8,1264.8,47,-7.5,0.190809,3.3
875.16,10104.12,8592.48,1909.44,1909.44,800.36,9240.52,7858.08,1746.24,1746.24,291.72,3368.04,2864.16,636.48,636.48,0,0,0,0,0,82,23.4,0.3420201,1.5
1021.02,11788.14,10024.56,2227.68,2227.68,729.3,8420.1,7160.4,1591.2,1591.2,0,0,0,0,0,800.36,9240.52,7858.08,1746.24,1746.24,79,22.1,0.4539905,0.6
729.3,8420.1,7160.4,1591.2,1591.2,1522.18,17574.26,14945.04,3321.12,3321.12,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,41,12.1,-0.4539905,1.6
1305.26,15069.82,12815.28,2847.84,2847.84,875.16,10104.12,8592.48,1909.44,1909.44,0,0,0,0,0,1017.28,11744.96,9987.84,2219.52,2219.52,52,15.8,0.9986295,2.5
1305.26,15069.82,12815.28,2847.84,2847.84,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,21,-1.2,0.9961947,0.9
875.16,10104.12,8592.48,1909.44,1909.44,1021.02,11788.14,10024.56,2227.68,2227.68,0,0,0,0,0,871.42,10060.94,8555.76,1901.28,1901.28,62,17.8,0.9961947,1.1
1166.88,13472.16,11456.64,2545.92,2545.92,583.44,6736.08,5728.32,1272.96,1272.96,1084.6,12522.2,10648.8,2366.4,2366.4,583.44,6736.08,5728.32,1272.96,1272.96,61,17.1,-0.2756374,1.4
1021.02,11788.14,10024.56,2227.68,2227.68,1522.18,17574.26,14945.04,3321.12,3321.12,800.36,9240.52,7858.08,1746.24,1746.24,437.58,5052.06,4296.24,954.72,954.72,71,19,0.7880108,0.9
729.3,8420.1,7160.4,1591.2,1591.2,1376.32,15890.24,13512.96,3002.88,3002.88,654.5,7556.5,6426,1428,1428,579.7,6692.9,5691.6,1264.8,1264.8,23,18.2,-0.898794,1.7
1305.26,15069.82,12815.28,2847.84,2847.84,875.16,10104.12,8592.48,1909.44,1909.44,0,0,0,0,0,1017.28,11744.96,9987.84,2219.52,2219.52,53,18.1,1,2.4
729.3,8420.1,7160.4,1591.2,1591.2,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,1163.14,13428.98,11419.92,2537.76,2537.76,68,25,-0.0348995,1.4
1092.08,12608.56,10722.24,2382.72,2382.72,729.3,8420.1,7160.4,1591.2,1591.2,0,0,0,0,0,1017.28,11744.96,9987.84,2219.52,2219.52,43,0.4,0.4694716,2.3
1021.02,11788.14,10024.56,2227.68,2227.68,291.72,3368.04,2864.16,636.48,636.48,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,43,-3.7,0.4848096,1.6
1151.92,13299.44,11309.76,2513.28,2513.28,729.3,8420.1,7160.4,1591.2,1591.2,1006.06,11615.42,9877.68,2195.04,2195.04,437.58,5052.06,4296.24,954.72,954.72,42,8.5,-0.9848078,2.1
1593.24,18394.68,15642.72,3476.16,3476.16,1305.26,15069.82,12815.28,2847.84,2847.84,0,0,0,0,0,1163.14,13428.98,11419.92,2537.76,2537.76,11,3.6,0.8386706,1.5
1166.88,13472.16,11456.64,2545.92,2545.92,1380.06,15933.42,13549.68,3011.04,3011.04,721.82,8333.74,7086.96,1574.88,1574.88,871.42,10060.94,8555.76,1901.28,1901.28,20,-4.4,0.7193398,1.8
1013.54,11701.78,9951.12,2211.36,2211.36,729.3,8420.1,7160.4,1591.2,1591.2,437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,53,9.8,0.4694716,1.2
1092.08,12608.56,10722.24,2382.72,2382.72,875.16,10104.12,8592.48,1909.44,1909.44,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,32,13.7,0.258819,4.8
867.68,10017.76,8519.04,1893.12,1893.12,1810.16,20899.12,17772.48,3949.44,3949.44,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,61,6.5,0.2419219,1.9
1166.88,13472.16,11456.64,2545.92,2545.92,729.3,8420.1,7160.4,1591.2,1591.2,145.86,1684.02,1432.08,318.24,318.24,145.86,1684.02,1432.08,318.24,318.24,38,-6.6,0.2079117,1.5
1383.8,15976.6,13586.4,3019.2,3019.2,1376.32,15890.24,13512.96,3002.88,3002.88,0,0,0,0,0,291.72,3368.04,2864.16,636.48,636.48,80,20.4,0.7880108,0.5
437.58,5052.06,4296.24,954.72,954.72,867.68,10017.76,8519.04,1893.12,1893.12,871.42,10060.94,8555.76,1901.28,1901.28,430.1,4965.7,4222.8,938.4,938.4,42,6.8,0.2079117,2.4
1305.26,15069.82,12815.28,2847.84,2847.84,867.68,10017.76,8519.04,1893.12,1893.12,654.5,7556.5,6426,1428,1428,583.44,6736.08,5728.32,1272.96,1272.96,34,-0.2,0.190809,3.5
1163.14,13428.98,11419.92,2537.76,2537.76,867.68,10017.76,8519.04,1893.12,1893.12,145.86,1684.02,1432.08,318.24,318.24,291.72,3368.04,2864.16,636.48,636.48,42,-2.9,0.2249511,2.7
1305.26,15069.82,12815.28,2847.84,2847.84,583.44,6736.08,5728.32,1272.96,1272.96,575.96,6649.72,5654.88,1256.64,1256.64,0,0,0,0,0,50,8.2,0.9396926,0.9
291.72,3368.04,2864.16,636.48,636.48,867.68,10017.76,8519.04,1893.12,1893.12,860.2,9931.4,8445.6,1876.8,1876.8,946.22,10924.54,9290.16,2064.48,2064.48,69,17.6,0.9563048,1
729.3,8420.1,7160.4,1591.2,1591.2,1159.4,13385.8,11383.2,2529.6,2529.6,0,0,0,0,0,291.72,3368.04,2864.16,636.48,636.48,47,-1.4,0.898794,0.6
1237.94,14292.58,12154.32,2700.96,2700.96,291.72,3368.04,2864.16,636.48,636.48,654.5,7556.5,6426,1428,1428,0,0,0,0,0,40,4,0.9271839,1.1
1522.18,17574.26,14945.04,3321.12,3321.12,1163.14,13428.98,11419.92,2537.76,2537.76,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,86,20.2,0.777146,1
1668.04,19258.28,16377.12,3639.36,3639.36,867.68,10017.76,8519.04,1893.12,1893.12,437.58,5052.06,4296.24,954.72,954.72,437.58,5052.06,4296.24,954.72,954.72,37,10.2,0.3907311,2.4
867.68,10017.76,8519.04,1893.12,1893.12,437.58,5052.06,4296.24,954.72,954.72,145.86,1684.02,1432.08,318.24,318.24,583.44,6736.08,5728.32,1272.96,1272.96,26,-1.6,0.8829476,0.5
1297.78,14983.46,12741.84,2831.52,2831.52,946.22,10924.54,9290.16,2064.48,2064.48,579.7,6692.9,5691.6,1264.8,1264.8,800.36,9240.52,7858.08,1746.24,1746.24,34,6.1,-0.3420201,0.9
875.16,10104.12,8592.48,1909.44,1909.44,800.36,9240.52,7858.08,1746.24,1746.24,1006.06,11615.42,9877.68,2195.04,2195.04,1088.34,12565.38,10685.52,2374.56,2374.56,56,16,0.309017,0.6
1166.88,13472.16,11456.64,2545.92,2545.92,1166.88,13472.16,11456.64,2545.92,2545.92,721.82,8333.74,7086.96,1574.88,1574.88,145.86,1684.02,1432.08,318.24,318.24,66,5.7,0.4383711,0.6
946.22,10924.54,9290.16,2064.48,2064.48,437.58,5052.06,4296.24,954.72,954.72,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,45,8.8,0.3746066,2.2
437.58,5052.06,4296.24,954.72,954.72,583.44,6736.08,5728.32,1272.96,1272.96,725.56,8376.92,7123.68,1583.04,1583.04,437.58,5052.06,4296.24,954.72,954.72,26,6.8,0.4226183,2.2
1166.88,13472.16,11456.64,2545.92,2545.92,1230.46,14206.22,12080.88,2684.64,2684.64,145.86,1684.02,1432.08,318.24,318.24,437.58,5052.06,4296.24,954.72,954.72,34,-6.1,0.3583679,3
1443.64,16667.48,14173.92,3149.76,3149.76,437.58,5052.06,4296.24,954.72,954.72,437.58,5052.06,4296.24,954.72,954.72,871.42,10060.94,8555.76,1901.28,1901.28,45,-3.4,0.5877853,0.8
875.16,10104.12,8592.48,1909.44,1909.44,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,39,0.7,0.258819,1.8
867.68,10017.76,8519.04,1893.12,1893.12,437.58,5052.06,4296.24,954.72,954.72,575.96,6649.72,5654.88,1256.64,1256.64,946.22,10924.54,9290.16,2064.48,2064.48,70,17.2,0.9876883,0.8
1021.02,11788.14,10024.56,2227.68,2227.68,291.72,3368.04,2864.16,636.48,636.48,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,29,3.7,0.544639,1.4
1447.38,16710.66,14210.64,3157.92,3157.92,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,437.58,5052.06,4296.24,954.72,954.72,14,1.8,0.6156615,2.3
729.3,8420.1,7160.4,1591.2,1591.2,946.22,10924.54,9290.16,2064.48,2064.48,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,50,13.7,0.5591929,1.1
583.44,6736.08,5728.32,1272.96,1272.96,729.3,8420.1,7160.4,1591.2,1591.2,0,0,0,0,0,437.58,5052.06,4296.24,954.72,954.72,43,4.3,0.2249511,2.8
1383.8,15976.6,13586.4,3019.2,3019.2,946.22,10924.54,9290.16,2064.48,2064.48,145.86,1684.02,1432.08,318.24,318.24,291.72,3368.04,2864.16,636.48,636.48,51,5.6,0.01745241,1.6
583.44,6736.08,5728.32,1272.96,1272.96,1237.94,14292.58,12154.32,2700.96,2700.96,654.5,7556.5,6426,1428,1428,725.56,8376.92,7123.68,1583.04,1583.04,28,17.4,-0.2923717,1.3
1443.64,16667.48,14173.92,3149.76,3149.76,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,291.72,3368.04,2864.16,636.48,636.48,31,0.4,0.3907311,1.7
1021.02,11788.14,10024.56,2227.68,2227.68,1021.02,11788.14,10024.56,2227.68,2227.68,0,0,0,0,0,583.44,6736.08,5728.32,1272.96,1272.96,30,9,0.3907311,1.7
1021.02,11788.14,10024.56,2227.68,2227.68,875.16,10104.12,8592.48,1909.44,1909.44,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,32,5.4,0.6691306,1.6
1013.54,11701.78,9951.12,2211.36,2211.36,583.44,6736.08,5728.32,1272.96,1272.96,508.64,5872.48,4993.92,1109.76,1109.76,583.44,6736.08,5728.32,1272.96,1272.96,43,2.2,0.258819,3.4
1297.78,14983.46,12741.84,2831.52,2831.52,1230.46,14206.22,12080.88,2684.64,2684.64,721.82,8333.74,7086.96,1574.88,1574.88,800.36,9240.52,7858.08,1746.24,1746.24,32,1.3,0.4383711,1.1
729.3,8420.1,7160.4,1591.2,1591.2,583.44,6736.08,5728.32,1272.96,1272.96,0,0,0,0,0,145.86,1684.02,1432.08,318.24,318.24,21,10.2,0.5877853,1.8
1021.02,11788.14,10024.56,2227.68,2227.68,1443.64,16667.48,14173.92,3149.76,3149.76,437.58,5052.06,4296.24,954.72,954.72,1163.14,13428.98,11419.92,2537.76,2537.76,53,15.3,0.9659258,1
875.16,10104.12,8592.48,1909.44,1909.44,729.3,8420.1,7160.4,1591.2,1591.2,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,74,21,0.9063078,0.5
1159.4,13385.8,11383.2,2529.6,2529.6,1309,15113,12852,2856,2856,291.72,3368.04,2864.16,636.48,636.48,583.44,6736.08,5728.32,1272.96,1272.96,56,20,-0.3583679,2.3
729.3,8420.1,7160.4,1591.2,1591.2,800.36,9240.52,7858.08,1746.24,1746.24,1006.06,11615.42,9877.68,2195.04,2195.04,1088.34,12565.38,10685.52,2374.56,2374.56,60,15.4,-0.2756374,0.3
729.3,8420.1,7160.4,1591.2,1591.2,1013.54,11701.78,9951.12,2211.36,2211.36,437.58,5052.06,4296.24,954.72,954.72,145.86,1684.02,1432.08,318.24,318.24,20,0.1,0.258819,4
1297.78,14983.46,12741.84,2831.52,2831.52,291.72,3368.04,2864.16,636.48,636.48,575.96,6649.72,5654.88,1256.64,1256.64,291.72,3368.04,2864.16,636.48,636.48,45,1.4,0.8910065,1
1305.26,15069.82,12815.28,2847.84,2847.84,1021.02,11788.14,10024.56,2227.68,2227.68,654.5,7556.5,6426,1428,1428,437.58,5052.06,4296.24,954.72,954.72,34,17.2,-0.3907311,2.2
1237.94,14292.58,12154.32,2700.96,2700.96,1806.42,20855.94,17735.76,3941.28,3941.28,291.72,3368.04,2864.16,636.48,636.48,1155.66,13342.62,11346.48,2521.44,2521.44,68,13.1,-0.9975641,0.3
875.16,10104.12,8592.48,1909.44,1909.44,583.44,6736.08,5728.32,1272.96,1272.96,291.72,3368.04,2864.16,636.48,636.48,437.58,5052.06,4296.24,954.72,954.72,58,5.9,0.544639,2
1021.02,11788.14,10024.56,2227.68,2227.68,437.58,5052.06,4296.24,954.72,954.72,721.82,8333.74,7086.96,1574.88,1574.88,0,0,0,0,0,48,8.4,0.5150381,1.3
583.44,6736.08,5728.32,1272.96,1272.96,729.3,8420.1,7160.4,1591.2,1591.2,1006.06,11615.42,9877.68,2195.04,2195.04,654.5,7556.5,6426,1428,1428,51,2.8,0.3746066,0.6
1522.18,17574.26,14945.04,3321.12,3321.12,1013.54,11701.78,9951.12,2211.36,2211.36,437.58,5052.06,4296.24,954.72,954.72,437.58,5052.06,4296.24,954.72,954.72,30,12.1,0.9455186,0.9
